SITE_NAME|INVOICE_NAME|BEGIN|END|KWH_PERIOD|PERIOD_EUR
12345_GEO (0001BB)|1300082549|01/01/2018|31/01/2018|2 447|316,46
12345_GEO (0001BB)|1300082549|01/02/2018|28/02/2018|2 211|286,82
12345_GEO (0001BB)|1300082549|01/03/2018|31/03/2018|2 450|317,32
12345_GEO (0001BB)|1300082549|01/04/2018|30/04/2018|2 431|315,00
12345_GEO (0001BB)|1300082549|01/05/2018|31/05/2018|2 574|333,37
12345_GEO (0001BB)|1300082549|01/06/2018|30/06/2018|2 830|365,27
12345_GEO (0001BB)|1300082549|01/07/2018|31/07/2018|3 028|390,39
12345_GEO (0001BB)|1300082549|01/08/2018|31/08/2018|3 053|393,99
12345_GEO (0001BB)|1300082549|01/09/2018|30/09/2018|2 915|378,35
12345_GEO (0001BB)|1300082549|01/10/2018|31/10/2018|2 986|387,05
12345_GEO (0001BB)|1300082549|01/11/2018|30/11/2018|2 871|372,47
12345_GEO (0001BB)|1300082549|01/12/2018|31/12/2018|3 086|399,30
12345_GEO (0001BB)|1300082549|01/01/2019|31/01/2019|3 094|381,40
12345_GEO (0001BB)|1300082549|01/02/2019|28/02/2019|2 767|345,87
12345_GEO (0001BB)|1300082549|01/03/2019|31/03/2019|3 059|378,18
12345_GEO (0001BB)|1300082549|01/04/2019|30/04/2019|2 761|340,84
12345_GEO (0001BB)|1300082549|01/05/2019|31/05/2019|2 844|349,26
12345_GEO (0001BB)|1300082549|01/06/2019|30/06/2019|3 009|369,19
12345_GEO (0001BB)|1300082549|01/07/2019|31/07/2019|3 016|371,20
12345_GEO (0001BB)|1300082549|01/08/2019|31/08/2019|3 089|380,42
12345_GEO (0001BB)|#|01/09/2019|30/09/2019|2 914|361,36
12345_GEO (0001BB)|1300082549|01/10/2019|31/10/2019|2 963|366,70
12345_GEO (0001BB)|1300082549|01/11/2019|30/11/2019|2 797|345,89
12345_GEO (0001BB)|9200080633|01/12/2019|31/12/2019|2 859|353,08
12345_GEO (0001BB)|1300082549|01/01/2020|31/01/2020|2 863|414,93
12345_GEO (0001BB)|1300082549|01/02/2020|29/02/2020|2 663|387,22
12345_GEO (0001BB)|1300082549|01/03/2020|31/03/2020|2 759|403,25
12345_GEO (0001BB)|1300082549|01/04/2020|30/04/2020|2 680|390,79
12345_GEO (0001BB)|1300082549|01/05/2020|31/05/2020|2 797|407,48
12345_GEO (0001BB)|1300082549|01/06/2020|30/06/2020|2 796|407,77
12345_GEO (0001BB)|#|01/07/2020|31/07/2020|2 952|429,09
12345_GEO (0001BB)|1300082549|01/08/2020|31/08/2020|3 014|435,98
12345_GEO (0001BB)|1300082549|01/09/2020|30/09/2020|2 857|411,97
12345_GEO (0001BB)|1300082549|01/10/2020|31/10/2020|2 905|413,41
12345_GEO (0001BB)|1300082549|01/11/2020|30/11/2020|2 755|383,02
12346_GEO (0001BR)|7010671121|01/01/2018|31/01/2018|2 438|266,43
12346_GEO (0001BR)|7010674536|01/02/2018|28/02/2018|2 211|242,33
12346_GEO (0001BR)|7010677303|01/03/2018|31/03/2018|2 453|267,95
12346_GEO (0001BR)|7010680430|01/04/2018|30/04/2018|2 414|263,78
12346_GEO (0001BR)|7010682689|01/05/2018|31/05/2018|2 517|274,62
12346_GEO (0001BR)|7010685153|01/06/2018|30/06/2018|2 461|268,63
12346_GEO (0001BR)|7010687605|01/07/2018|31/07/2018|2 560|279,26
12346_GEO (0001BR)|7010690122|01/08/2018|31/08/2018|2 597|283,07
12346_GEO (0001BR)|7010693510|01/09/2018|30/09/2018|2 436|267,99
12346_GEO (0001BR)|7010696602|01/10/2018|31/10/2018|2 497|274,50
12346_GEO (0001BR)|7010698523|01/11/2018|30/11/2018|2 397|263,82
12346_GEO (0001BR)|7010701285|01/12/2018|31/12/2018|2 452|269,69
12346_GEO (0001BR)|7010705839|01/01/2019|31/01/2019|2 460|264,03
12346_GEO (0001BR)|7010710054|01/02/2019|28/02/2019|2 229|239,96
12346_GEO (0001BR)|7010713168|01/03/2019|31/03/2019|2 475|265,56
12346_GEO (0001BR)|7010718299|01/04/2019|30/04/2019|2 410|258,76
12346_GEO (0001BR)|7010722173|01/05/2019|31/05/2019|2 508|268,92
12346_GEO (0001BR)|7010724621|01/06/2019|30/06/2019|2 529|270,94
12346_GEO (0001BR)|7010727192|01/07/2019|31/07/2019|2 593|277,63
12346_GEO (0001BR)|7010729531|01/08/2019|31/08/2019|2 603|278,60
12346_GEO (0001BR)|7010731590|01/09/2019|30/09/2019|2 595|277,20
12346_GEO (0001BR)|7010735200|01/10/2019|31/10/2019|2 708|288,79
12346_GEO (0001BR)|7010737367|01/11/2019|30/11/2019|2 595|277,07
12346_GEO (0001BR)|7010740643|01/12/2019|31/12/2019|2 648|282,57
12346_GEO (0001BR)|7010745551|01/01/2020|31/01/2020|2 600|330,81
12346_GEO (0001BR)|7010749427|01/02/2020|29/02/2020|2 445|311,57
12346_GEO (0001BR)|7010752580|01/03/2020|31/03/2020|2 609|330,32
12346_GEO (0001BR)|7010755366|01/04/2020|30/04/2020|2 629|332,70
12346_GEO (0001BR)|7010757787|01/05/2020|31/05/2020|2 735|345,77
12346_GEO (0001BR)|7010760352|01/06/2020|30/06/2020|2 687|339,78
12346_GEO (0001BR)|7010762664|01/07/2020|31/07/2020|2 854|360,33
12346_GEO (0001BR)|7010766224|01/08/2020|31/08/2020|2 886|364,21
